epoch,Day,Infectived,Recovered,Current Infected,Susceptibles
5,12,129,129,0,6
5,13,129,129,0,6
5,14,129,129,0,6
5,15,129,129,0,6
5,16,129,129,0,6
5,17,129,129,0,6
5,18,129,129,0,6
5,19,129,129,0,6
5,20,129,129,0,6
5,21,129,129,0,6
5,22,129,129,0,6
5,23,129,129,0,6
5,24,129,129,0,6
5,25,129,129,0,6
5,26,129,129,0,6
5,27,129,129,0,6
5,28,129,129,0,6
5,29,129,129,0,6
5,30,129,129,0,6
5,31,129,129,0,6
5,32,129,129,0,6
5,33,129,129,0,6
5,34,129,129,0,6
5,35,129,129,0,6
5,36,129,129,0,6
5,37,129,129,0,6
5,38,129,129,0,6
5,39,129,129,0,6
5,40,129,129,0,6
5,41,129,129,0,6
5,42,129,129,0,6
5,43,129,129,0,6
5,44,129,129,0,6
5,45,129,129,0,6
5,46,129,129,0,6
5,47,129,129,0,6
5,48,129,129,0,6
5,49,129,129,0,6
5,50,129,129,0,6
5,51,129,129,0,6
5,52,129,129,0,6
5,53,129,129,0,6
5,54,129,129,0,6
5,55,129,129,0,6
5,56,129,129,0,6
5,57,129,129,0,6
5,58,129,129,0,6
5,59,129,129,0,6
5,60,129,129,0,6
5,61,129,129,0,6
5,62,129,129,0,6
5,63,129,129,0,6
5,64,129,129,0,6
5,65,129,129,0,6
5,66,129,129,0,6
5,67,129,129,0,6
5,68,129,129,0,6
5,69,129,129,0,6
5,70,129,129,0,6
5,71,129,129,0,6
5,72,129,129,0,6
5,73,129,129,0,6
5,74,129,129,0,6
5,75,129,129,0,6
5,76,129,129,0,6
5,77,129,129,0,6
5,78,129,129,0,6
5,79,129,129,0,6
5,80,129,129,0,6
5,81,129,129,0,6
5,82,129,129,0,6
5,83,129,129,0,6
5,84,129,129,0,6
5,85,129,129,0,6
5,86,129,129,0,6
5,87,129,129,0,6
5,88,129,129,0,6
5,89,129,129,0,6
5,90,129,129,0,6
5,91,129,129,0,6
5,92,129,129,0,6
5,93,129,129,0,6
5,94,129,129,0,6
5,95,129,129,0,6
5,96,129,129,0,6
5,97,129,129,0,6
5,98,129,129,0,6
5,99,129,129,0,6
5,100,129,129,0,6
6,1,8,0,8,127
6,2,73,0,73,62
6,3,129,0,129,6
6,4,129,0,129,6
6,5,129,0,129,6
6,6,129,0,129,6
6,7,129,0,129,6
6,8,129,1,128,6
6,9,129,8,121,6
6,10,129,73,56,6
6,11,129,129,0,6
6,12,129,129,0,6
6,13,129,129,0,6
6,14,129,129,0,6
6,15,129,129,0,6
6,16,129,129,0,6
6,17,129,129,0,6
6,18,129,129,0,6
6,19,129,129,0,6
6,20,129,129,0,6
6,21,129,129,0,6
6,22,129,129,0,6
6,23,129,129,0,6
6,24,129,129,0,6
6,25,129,129,0,6
6,26,129,129,0,6
6,27,129,129,0,6
6,28,129,129,0,6
6,29,129,129,0,6
6,30,129,129,0,6
6,31,129,129,0,6
6,32,129,129,0,6
6,33,129,129,0,6
6,34,129,129,0,6
6,35,129,129,0,6
6,36,129,129,0,6
6,37,129,129,0,6
6,38,129,129,0,6
6,39,129,129,0,6
6,40,129,129,0,6
6,41,129,129,0,6
6,42,129,129,0,6
6,43,129,129,0,6
6,44,129,129,0,6
6,45,129,129,0,6
6,46,129,129,0,6
6,47,129,129,0,6
6,48,129,129,0,6
6,49,129,129,0,6
6,50,129,129,0,6
6,51,129,129,0,6
6,52,129,129,0,6
6,53,129,129,0,6
6,54,129,129,0,6
6,55,129,129,0,6
6,56,129,129,0,6
6,57,129,129,0,6
6,58,129,129,0,6
6,59,129,129,0,6
6,60,129,129,0,6
6,61,129,129,0,6
6,62,129,129,0,6
6,63,129,129,0,6
6,64,129,129,0,6
6,65,129,129,0,6
6,66,129,129,0,6
6,67,129,129,0,6
6,68,129,129,0,6
6,69,129,129,0,6
6,70,129,129,0,6
6,71,129,129,0,6
6,72,129,129,0,6
6,73,129,129,0,6
6,74,129,129,0,6
6,75,129,129,0,6
6,76,129,129,0,6
6,77,129,129,0,6
6,78,129,129,0,6
6,79,129,129,0,6
6,80,129,129,0,6
6,81,129,129,0,6
6,82,129,129,0,6
6,83,129,129,0,6
6,84,129,129,0,6
6,85,129,129,0,6
6,86,129,129,0,6
6,87,129,129,0,6
6,88,129,129,0,6
6,89,129,129,0,6
6,90,129,129,0,6
6,91,129,129,0,6
6,92,129,129,0,6
6,93,129,129,0,6
6,94,129,129,0,6
6,95,129,129,0,6
6,96,129,129,0,6
6,97,129,129,0,6
6,98,129,129,0,6
6,99,129,129,0,6
6,100,129,129,0,6
7,1,8,0,8,127
7,2,65,0,65,70
7,3,131,0,131,4
7,4,131,0,131,4
7,5,131,0,131,4
7,6,131,0,131,4
7,7,131,0,131,4
7,8,131,1,130,4
7,9,131,8,123,4
7,10,131,65,66,4
7,11,131,131,0,4
7,12,131,131,0,4
7,13,131,131,0,4
7,14,131,131,0,4
7,15,131,131,0,4
7,16,131,131,0,4
7,17,131,131,0,4
7,18,131,131,0,4
7,19,131,131,0,4
